Country,Year,Technology or Sector,Topic,Indicator,Indicator Categories,Unit,Value,Number of observations,updated_at
United States,2014,Important energy consumers,Employment,Gender wage gap conditional on skills by occupation level,"Low level (Service and sales workers; Skilled agricultural, forestry and fishery workers; Elementary occupations)",Percent,-10.280550003051758,253,1659539394367
Italy,2010,Non-energy,Employment,Gender gap in hours worked by education level,Less than upper secondary education,Percent,-15.672829627990723,29000,1659539394367
Czech Republic,2014,Energy,Employment,Gender employment gap by contract type,Permanent contract,Percent,-71.49960327148438,70694,1659539394367
Spain,2010,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender employment gap by education level,Upper secondary education,Percent,-66.3349380493164,416,1659539394367
Malta,2014,Important energy consumers,Employment,Gender employment gap by occupation level,High level (Managers; Professionals; Technicians and associate professionals),Percent,-77.68553924560547,127,1659539394367
Croatia,2018,Energy,Employment,Gender wage gap conditional on skills by occupation level,High level (Managers; Professionals; Technicians and associate professionals),Percent,-13.561169624328613,937,1659539394367
Bulgaria,2018,Important energy consumers,Employment,Gender gap in hours worked,,Percent,-1.7540199756622314,3938,1659539394367
Estonia,2014,Energy,Employment,Gender wage gap conditional on skills by occupation level,High level (Managers; Professionals; Technicians and associate professionals),Percent,-27.127559661865234,2006,1659539394367
Norway,2014,Non-energy,Employment,Gender wage gap conditional on skills by occupation level,"Middle level (Clerical support workers; Craft and related trades workers; Plant and machine operators, and assemblers)",Percent,-7.091488838195801,58276,1659539394367
Latvia,2018,Energy generation and distribution,Employment,Gender wage gap conditional on skills by education level,Less than upper secondary education,Percent,-26.684999465942383,281,1659539394367
Bulgaria,2018,Energy,Employment,Gender employment gap by education level,Less than upper secondary education,Percent,-82.03028869628906,426,1659539394367
Romania,2014,Energy,Employment,Gender employment gap by education level,Tertiary education,Percent,-38.06184005737305,4345,1659539394367
Slovak Republic,2014,Non-energy,Employment,Gender wage gap by firm size,Small,Percent,-12.51615047454834,25461,1659539394367
Poland,2018,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender gap in hours worked by contract type,Temporary contract,Percent,-2.7404379844665527,1056,1659539394367
Latvia,2018,Non-energy,Employment,Gender employment gap by occupation level,"Middle level (Clerical support workers; Craft and related trades workers; Plant and machine operators, and assemblers)",Percent,-24.64773941040039,10402,1659539394367
Poland,2018,Non-energy,Employment,Gender employment gap by occupation level,"Low level (Service and sales workers; Skilled agricultural, forestry and fishery workers; Elementary occupations)",Percent,119.13860321044922,94534,1659539394367
Romania,2014,Energy generation and distribution,Employment,Gender gap in hours worked by education level,Tertiary education,Percent,-0.9422088861465454,1943,1659539394367
Belgium,2014,Non-energy,Employment,Gender wage gap conditional on skills by firm size,Small,Percent,-6.862283229827881,9272,1659539394367
Estonia,2014,Total,Employment,Gender wage gap conditional on skills,,Percent,-28.027069091796875,59794,1659539394367
Poland,2010,Important energy consumers,Employment,Gender wage gap conditional on skills,,Percent,-13.874320030212402,11725,1659539394367
Croatia,2018,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender wage gap conditional on skills by occupation level,"Low level (Service and sales workers; Skilled agricultural, forestry and fishery workers; Elementary occupations)",Percent,-20.668010711669922,64,1659539394367
Norway,2018,Important energy consumers,Employment,Gender wage gap by occupation level,"Low level (Service and sales workers; Skilled agricultural, forestry and fishery workers; Elementary occupations)",Percent,-8.383271217346191,5321,1659539394367
Hungary,2014,Energy,Employment,Gender wage gap,,Percent,7.390695095062256,8436,1659539394367
Hungary,2018,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender gap in hours worked by contract type,Temporary contract,Percent,-7.252429008483887,39,1659539394367
Latvia,2014,Energy generation and distribution,Employment,Gender wage gap by firm size,Medium,Percent,-25.80293083190918,827,1659539394367
Portugal,2010,Energy generation and distribution,Employment,Gender wage gap by firm size,Large,Percent,-33.15776824951172,438,1659539394367
Czech Republic,2010,Energy,Employment,Gender employment gap by occupation level,"Low level (Service and sales workers; Skilled agricultural, forestry and fishery workers; Elementary occupations)",Percent,-34.23749923706055,13697,1659539394367
Italy,2010,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender gap in hours worked by firm size,Small,Percent,-9.638360977172852,388,1659539394367
Belgium,2010,Total,Employment,Gender employment gap by occupation level,"Middle level (Clerical support workers; Craft and related trades workers; Plant and machine operators, and assemblers)",Percent,-50.677879333496094,16228,1659539394367
United Kingdom,2014,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender gap in hours worked by occupation level,High level (Managers; Professionals; Technicians and associate professionals),Percent,-19.448789596557617,436,1659539394367
Netherlands,2018,Energy,Employment,Gender employment gap by contract type,Temporary contract,Percent,-76.7181167602539,583,1659539394367
Portugal,2014,Total,Employment,Gender wage gap conditional on skills by firm size,Large,Percent,-25.345670700073242,19164,1659539394367
Portugal,2014,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender wage gap by firm size,Medium,Percent,14.215570449829102,127,1659539394367
Latvia,2014,Energy generation and distribution,Employment,Gender wage gap conditional on skills by contract type,Permanent contract,Percent,-29.598419189453125,2669,1659539394367
Netherlands,2014,Energy,Employment,Gender employment gap by contract type,Temporary contract,Percent,-78.47972106933594,424,1659539394367
Netherlands,2014,Non-energy,Employment,Gender gap in hours worked by contract type,Permanent contract,Percent,-27.961299896240234,49982,1659539394367
France,2014,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender wage gap by firm size,Medium,Percent,4.529077053070068,281,1659539394367
Croatia,2014,Non-energy,Employment,Gender wage gap by education level,Tertiary education,Percent,-17.21211051940918,13181,1659539394367
Slovak Republic,2014,Important energy consumers,Employment,Gender gap in hours worked by firm size,Large,Percent,-1.5625200271606445,16686,1659539394367
Poland,2018,Non-energy,Employment,Gender wage gap by education level,Less than upper secondary education,Percent,-12.882149696350098,15557,1659539394367
Sweden,2010,Non-energy,Employment,Gender gap in hours worked by education level,Tertiary education,Percent,-8.748141288757324,78086,1659539394367
Netherlands,2010,Energy,Employment,Gender gap in hours worked by education level,Tertiary education,Percent,-17.411890029907227,557,1659539394367
Hungary,2014,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender gap in hours worked by occupation level,"Low level (Service and sales workers; Skilled agricultural, forestry and fishery workers; Elementary occupations)",Percent,-12.37559986114502,241,1659539394367
Lithuania,2010,Important energy consumers,Employment,Gender employment gap by firm size,Medium,Percent,-74.1239013671875,178,1659539394367
Croatia,2010,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender wage gap conditional on skills by contract type,Temporary contract,Percent,-8.563584327697754,21,1659539394367
Germany,2014,Non-energy,Employment,Gender employment gap by education level,Tertiary education,Percent,-21.74226951599121,104017,1659539394367
Greece,2010,Total,Employment,Gender wage gap by education level,Tertiary education,Percent,-15.644169807434082,7499,1659539394367
Spain,2014,Non-energy,Employment,Gender gap in hours worked by education level,Upper secondary education,Percent,-7.809237957000732,18676,1659539394367
Romania,2014,Non-energy,Employment,Gender employment gap by occupation level,"Middle level (Clerical support workers; Craft and related trades workers; Plant and machine operators, and assemblers)",Percent,-25.00982093811035,26744,1659539394367
Czech Republic,2018,Energy generation and distribution,Employment,Gender employment gap by contract type,Temporary contract,Percent,-28.058349609375,8176,1659539394367
Finland,2010,Non-energy,Employment,Gender wage gap by education level,Less than upper secondary education,Percent,-18.38460922241211,12726,1659539394367
Czech Republic,2010,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender wage gap by firm size,Small,Percent,-3.6638059616088867,411,1659539394367
Slovenia,2014,Important energy consumers,Employment,Gender wage gap by occupation level,"Middle level (Clerical support workers; Craft and related trades workers; Plant and machine operators, and assemblers)",Percent,2.055514097213745,669,1659539394367
Italy,2018,Total,Employment,Gender gap in hours worked by education level,Less than upper secondary education,Percent,-18.886890411376953,16944,1659539394367
Belgium,2018,Energy generation and distribution,Employment,Gender gap in hours worked by firm size,Medium,Percent,-8.564778327941895,536,1659539394367
Canada,2014,Energy,Employment,Gender wage gap by firm size,Small,Percent,-23.830059051513672,9509,1659539394367
Latvia,2014,Energy generation and distribution,Employment,Gender wage gap by education level,Upper secondary education,Percent,-27.08296012878418,1444,1659539394367
Poland,2014,Energy,Employment,Gender wage gap by occupation level,High level (Managers; Professionals; Technicians and associate professionals),Percent,-23.26519012451172,13096,1659539394367
Croatia,2010,Non-energy,Employment,Gender employment gap by occupation level,High level (Managers; Professionals; Technicians and associate professionals),Percent,43.91048049926758,8911,1659539394367
Cyprus,2018,Energy,Employment,Gender employment gap by occupation level,"Middle level (Clerical support workers; Craft and related trades workers; Plant and machine operators, and assemblers)",Percent,-78.83248901367188,272,1659539394367
Belgium,2014,Energy generation and distribution,Employment,Gender wage gap conditional on skills by education level,Tertiary education,Percent,-11.087470054626465,674,1659539394367
Spain,2010,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender gap in hours worked by contract type,Permanent contract,Percent,-8.328043937683105,1233,1659539394367
France,2010,Energy generation and distribution,Employment,Gender gap in hours worked by education level,Upper secondary education,Percent,-3.541703939437866,1009,1659539394367
Sweden,2014,Important energy consumers,Employment,Gender employment gap by occupation level,"Middle level (Clerical support workers; Craft and related trades workers; Plant and machine operators, and assemblers)",Percent,-83.28265380859375,1261,1659539394367
Sweden,2010,Energy,Employment,Gender employment gap by firm size,Large,Percent,-76.65956115722656,3056,1659539394367
Malta,2014,Energy,Employment,Gender wage gap by occupation level,High level (Managers; Professionals; Technicians and associate professionals),Percent,-7.246677875518799,403,1659539394367
Canada,2010,Important energy consumers,Employment,Gender wage gap by occupation level,"Middle level (Clerical support workers; Craft and related trades workers; Plant and machine operators, and assemblers)",Percent,-13.004420280456543,4508,1659539394367
Romania,2010,Non-energy,Employment,Gender wage gap by contract type,Permanent contract,Percent,-3.7285990715026855,114325,1659539394367
Sweden,2014,Important energy consumers,Employment,Gender employment gap by occupation level,High level (Managers; Professionals; Technicians and associate professionals),Percent,-62.957298278808594,873,1659539394367
Canada,2018,Energy generation and distribution,Employment,Gender wage gap by education level,Upper secondary education,Percent,-29.161819458007812,2978,1659539394367
Spain,2018,Energy,Employment,Gender wage gap by firm size,Medium,Percent,-2.4572789669036865,1662,1659539394367
United Kingdom,2014,Important energy consumers,Employment,Gender wage gap conditional on skills by occupation level,"Middle level (Clerical support workers; Craft and related trades workers; Plant and machine operators, and assemblers)",Percent,-10.277090072631836,716,1659539394367
Bulgaria,2014,Energy generation and distribution,Employment,Gender wage gap conditional on skills by firm size,Small,Percent,-19.118789672851562,467,1659539394367
Lithuania,2010,Important energy consumers,Employment,Gender wage gap by occupation level,High level (Managers; Professionals; Technicians and associate professionals),Percent,-19.06329917907715,381,1659539394367
Czech Republic,2010,Energy generation and distribution,Employment,Gender gap in hours worked by education level,Upper secondary education,Percent,-1.2969419956207275,24055,1659539394367
Croatia,2010,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender employment gap by contract type,Temporary contract,Percent,-95.12860107421875,21,1659539394367
United States,2010,Energy generation and distribution,Employment,Gender employment gap,,Percent,-71.57669830322266,935,1659539394367
Lithuania,2010,Energy generation and distribution,Employment,Gender employment gap by contract type,Permanent contract,Percent,-60.41542053222656,656,1659539394367
Portugal,2014,Energy,Employment,Gender wage gap conditional on skills by education level,Less than upper secondary education,Percent,-9.88382625579834,792,1659539394367
United Kingdom,2014,Energy generation and distribution,Employment,Gender wage gap by contract type,Permanent contract,Percent,-16.830249786376953,814,1659539394367
Croatia,2014,Important energy consumers,Employment,Gender gap in hours worked by contract type,Temporary contract,Percent,-0.6767774224281311,120,1659539394367
Croatia,2014,Important energy consumers,Employment,Gender wage gap conditional on skills by education level,Tertiary education,Percent,-23.425260543823242,267,1659539394367
Lithuania,2018,Important energy consumers,Employment,Gender wage gap by firm size,Medium,Percent,21.574989318847656,221,1659539394367
Croatia,2014,Energy,Employment,Gender wage gap by occupation level,High level (Managers; Professionals; Technicians and associate professionals),Percent,-5.496376037597656,614,1659539394367
Czech Republic,2010,Energy generation and distribution,Employment,Gender employment gap by firm size,Medium,Percent,-20.758760452270508,5063,1659539394367
United Kingdom,2010,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender wage gap by education level,Tertiary education,Percent,-29.84670066833496,477,1659539394367
Greece,2018,Total,Employment,Gender wage gap by firm size,Large,Percent,-15.642589569091797,7404,1659539394367
Netherlands,2010,Energy,Employment,Gender wage gap by occupation level,High level (Managers; Professionals; Technicians and associate professionals),Percent,-21.367820739746094,792,1659539394367
Poland,2014,Total,Employment,Gender gap in hours worked by occupation level,High level (Managers; Professionals; Technicians and associate professionals),Percent,-7.666979789733887,205454,1659539394367
Sweden,2014,Energy,Employment,Gender gap in hours worked by education level,Less than upper secondary education,Percent,-4.448994159698486,337,1659539394367
Lithuania,2018,Non-energy,Employment,Gender wage gap by occupation level,"Low level (Service and sales workers; Skilled agricultural, forestry and fishery workers; Elementary occupations)",Percent,-10.240289688110352,3716,1659539394367
Sweden,2014,Energy generation and distribution,Employment,Gender gap in hours worked by occupation level,"Middle level (Clerical support workers; Craft and related trades workers; Plant and machine operators, and assemblers)",Percent,-2.172192096710205,594,1659539394367
Latvia,2014,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender employment gap by education level,Tertiary education,Percent,-61.536399841308594,527,1659539394367
Australia,2014,Energy,Employment,Gender employment gap by education level,Tertiary education,Percent,-72.46328735351562,21,1659539394367
Belgium,2014,Energy generation and distribution,Employment,Gender employment gap by occupation level,"Middle level (Clerical support workers; Craft and related trades workers; Plant and machine operators, and assemblers)",Percent,-52.25252151489258,661,1659539394367
Hungary,2010,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender gap in hours worked by firm size,Large,Percent,-11.196220397949219,138,1659539394367
Lithuania,2018,Energy generation and distribution,Employment,Gender wage gap conditional on skills by occupation level,"Low level (Service and sales workers; Skilled agricultural, forestry and fishery workers; Elementary occupations)",Percent,-34.69895935058594,73,1659539394367
Norway,2018,Non-energy,Employment,Gender gap in hours worked by education level,Less than upper secondary education,Percent,-19.472169876098633,214567,1659539394367
Italy,2010,Energy,Employment,Gender gap in hours worked by occupation level,"Middle level (Clerical support workers; Craft and related trades workers; Plant and machine operators, and assemblers)",Percent,-8.220423698425293,6084,1659539394367
Slovenia,2014,Important energy consumers,Employment,Gender gap in hours worked by occupation level,"Middle level (Clerical support workers; Craft and related trades workers; Plant and machine operators, and assemblers)",Percent,-6.06443977355957,669,1659539394367
Sweden,2014,Total,Employment,Gender wage gap by occupation level,"Low level (Service and sales workers; Skilled agricultural, forestry and fishery workers; Elementary occupations)",Percent,-2.4407639503479004,48483,1659539394367
Estonia,2010,Total,Employment,Gender gap in hours worked by contract type,Permanent contract,Percent,-5.231784820556641,55894,1659539394367
Germany,2018,Non-energy,Employment,Gender employment gap by education level,Tertiary education,Percent,-22.7425594329834,107767,1659539394367
Greece,2010,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender employment gap by firm size,Small,Percent,-82.78791046142578,87,1659539394367
Slovenia,2014,Total,Employment,Gender wage gap by occupation level,High level (Managers; Professionals; Technicians and associate professionals),Percent,-8.76754379272461,60765,1659539394367
Lithuania,2018,Energy,Employment,Gender wage gap by occupation level,"Middle level (Clerical support workers; Craft and related trades workers; Plant and machine operators, and assemblers)",Percent,6.495728015899658,353,1659539394367
Croatia,2014,Non-energy,Employment,Gender wage gap by occupation level,"Low level (Service and sales workers; Skilled agricultural, forestry and fishery workers; Elementary occupations)",Percent,-20.316280364990234,9017,1659539394367
Hungary,2014,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender gap in hours worked by education level,Less than upper secondary education,Percent,-12.045339584350586,149,1659539394367
Latvia,2010,Energy generation and distribution,Employment,Gender wage gap by contract type,Temporary contract,Percent,-1.6928390264511108,198,1659539394367
Latvia,2014,Non-energy,Employment,Gender wage gap conditional on skills by firm size,Small,Percent,-9.92774772644043,22129,1659539394367
Greece,2014,Energy,Employment,Gender employment gap by occupation level,"Middle level (Clerical support workers; Craft and related trades workers; Plant and machine operators, and assemblers)",Percent,-76.2659912109375,768,1659539394367
Bulgaria,2018,Energy,Employment,Gender wage gap by firm size,Medium,Percent,4.188656806945801,1857,1659539394367
Poland,2018,Total,Employment,Gender wage gap by firm size,Large,Percent,-20.137880325317383,172115,1659539394367
Netherlands,2018,Energy,Employment,Gender employment gap by occupation level,"Low level (Service and sales workers; Skilled agricultural, forestry and fishery workers; Elementary occupations)",Percent,-53.30400085449219,569,1659539394367
Slovenia,2018,Non-energy,Employment,Gender gap in hours worked by education level,Tertiary education,Percent,-2.749119997024536,59113,1659539394367
Cyprus,2010,Energy generation and distribution,Employment,Gender wage gap conditional on skills by occupation level,"Middle level (Clerical support workers; Craft and related trades workers; Plant and machine operators, and assemblers)",Percent,-35.45703887939453,97,1659539394367
Italy,2010,Important energy consumers,Employment,Gender gap in hours worked by occupation level,"Middle level (Clerical support workers; Craft and related trades workers; Plant and machine operators, and assemblers)",Percent,-8.299330711364746,2951,1659539394367
Denmark,2014,Non-energy,Employment,Gender wage gap conditional on skills by contract type,Temporary contract,Percent,-1.556678056716919,29550,1659539394367
Estonia,2018,Non-energy,Employment,Gender wage gap conditional on skills by contract type,Permanent contract,Percent,-23.997310638427734,60079,1659539394367
Belgium,2018,Total,Employment,Gender wage gap by education level,Less than upper secondary education,Percent,-6.711597919464111,15291,1659539394367
Norway,2010,Energy generation and distribution,Employment,Gender gap in hours worked by occupation level,"Low level (Service and sales workers; Skilled agricultural, forestry and fishery workers; Elementary occupations)",Percent,-15.503809928894043,923,1659539394367
Norway,2018,Total,Employment,Gender wage gap conditional on skills by education level,Upper secondary education,Percent,-15.548629760742188,329477,1659539394367
France,2010,Important energy consumers,Employment,Gender wage gap by firm size,Medium,Percent,0.15348659455776215,405,1659539394367
Greece,2014,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender wage gap by education level,Upper secondary education,Percent,-1.206365942955017,111,1659539394367
Romania,2014,Energy generation and distribution,Employment,Gender wage gap by education level,Less than upper secondary education,Percent,-45.05052185058594,188,1659539394367
Lithuania,2014,Total,Employment,Gender employment gap by occupation level,"Middle level (Clerical support workers; Craft and related trades workers; Plant and machine operators, and assemblers)",Percent,-61.097869873046875,4202,1659539394367
Sweden,2014,Energy,Employment,Gender employment gap by firm size,Small,Percent,-90.06317901611328,970,1659539394367
United Kingdom,2010,Important energy consumers,Employment,Gender wage gap by occupation level,High level (Managers; Professionals; Technicians and associate professionals),Percent,-16.778690338134766,424,1659539394367
Germany,2018,Important energy consumers,Employment,Gender gap in hours worked by education level,Less than upper secondary education,Percent,-19.628219604492188,994,1659539394367
Luxembourg,2014,Important energy consumers,Employment,Gender gap in hours worked by education level,Upper secondary education,Percent,-13.081609725952148,116,1659539394367
Denmark,2014,Energy,Employment,Gender gap in hours worked,,Percent,-0.7398313283920288,13704,1659539394367
Germany,2010,Important energy consumers,Employment,Gender employment gap,,Percent,-71.765869140625,22993,1659539394367
Italy,2010,Energy,Employment,Gender employment gap by contract type,Temporary contract,Percent,-78.45382690429688,370,1659539394367
Spain,2018,Important energy consumers,Employment,Gender wage gap conditional on skills by contract type,Temporary contract,Percent,-13.922380447387695,413,1659539394367
Czech Republic,2014,Important energy consumers,Employment,Gender wage gap conditional on skills by education level,Less than upper secondary education,Percent,-6.801319122314453,4575,1659539394367
Slovak Republic,2010,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender wage gap by contract type,Temporary contract,Percent,4.814465045928955,314,1659539394367
Greece,2014,Total,Employment,Gender gap in hours worked by occupation level,"Low level (Service and sales workers; Skilled agricultural, forestry and fishery workers; Elementary occupations)",Percent,-7.684218883514404,5684,1659539394367
Croatia,2010,Important energy consumers,Employment,Gender gap in hours worked by occupation level,High level (Managers; Professionals; Technicians and associate professionals),Percent,-4.747232913970947,211,1659539394367
Norway,2018,Non-energy,Employment,Gender employment gap by education level,Tertiary education,Percent,51.815528869628906,490578,1659539394367
Latvia,2010,Non-energy,Employment,Gender wage gap by firm size,Large,Percent,-15.60863971710205,30019,1659539394367
France,2014,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender employment gap by firm size,Medium,Percent,-85.4136962890625,281,1659539394367
Belgium,2014,Non-energy,Employment,Gender wage gap conditional on skills by occupation level,"Middle level (Clerical support workers; Craft and related trades workers; Plant and machine operators, and assemblers)",Percent,-0.5241597294807434,12594,1659539394367
Spain,2014,Energy generation and distribution,Employment,Gender wage gap conditional on skills by firm size,Medium,Percent,-21.355379104614258,799,1659539394367
Poland,2010,Energy,Employment,Gender wage gap by education level,Less than upper secondary education,Percent,-23.925119400024414,1159,1659539394367
Cyprus,2018,Energy generation and distribution,Employment,Gender gap in hours worked by education level,Upper secondary education,Percent,-4.770648956298828,28,1659539394367
Netherlands,2014,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender wage gap by education level,Less than upper secondary education,Percent,-19.278179168701172,117,1659539394367
Latvia,2014,Non-energy,Employment,Gender employment gap by contract type,Permanent contract,Percent,47.38302993774414,74154,1659539394367
Bulgaria,2018,Energy generation and distribution,Employment,Gender wage gap by education level,Tertiary education,Percent,-31.666959762573242,1403,1659539394367
United Kingdom,2014,Total,Employment,Gender wage gap conditional on skills by occupation level,"Low level (Service and sales workers; Skilled agricultural, forestry and fishery workers; Elementary occupations)",Percent,-11.968070030212402,33518,1659539394367
Cyprus,2014,Total,Employment,Gender gap in hours worked by education level,Upper secondary education,Percent,-5.116683006286621,6614,1659539394367
Norway,2014,Total,Employment,Gender gap in hours worked by contract type,Temporary contract,Percent,-11.551239967346191,33865,1659539394367
Hungary,2014,Energy generation and distribution,Employment,Gender employment gap by firm size,Large,Percent,-65.57013702392578,1172,1659539394367
Lithuania,2018,Important energy consumers,Employment,Gender gap in hours worked by occupation level,"Low level (Service and sales workers; Skilled agricultural, forestry and fishery workers; Elementary occupations)",Percent,5.464101791381836,106,1659539394367
Greece,2014,Important energy consumers,Employment,Gender wage gap conditional on skills by occupation level,"Middle level (Clerical support workers; Craft and related trades workers; Plant and machine operators, and assemblers)",Percent,-4.779170989990234,432,1659539394367
Latvia,2018,Important energy consumers,Employment,Gender employment gap by firm size,Large,Percent,-58.811641693115234,1800,1659539394367
Lithuania,2014,Energy,Employment,Gender wage gap conditional on skills by firm size,Large,Percent,-20.439929962158203,913,1659539394367
Greece,2018,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender wage gap by contract type,Temporary contract,Percent,-27.4343204498291,29,1659539394367
Croatia,2014,Non-energy,Employment,Gender wage gap conditional on skills by education level,Upper secondary education,Percent,-19.16387939453125,13225,1659539394367
Slovenia,2014,Energy,Employment,Gender wage gap by education level,Tertiary education,Percent,-15.698749542236328,3015,1659539394367
Norway,2010,Non-energy,Employment,Gender gap in hours worked by education level,Less than upper secondary education,Percent,-18.636030197143555,118994,1659539394367
Hungary,2010,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender employment gap by firm size,Medium,Percent,-85.83865356445312,234,1659539394367
Portugal,2010,Important energy consumers,Employment,Gender wage gap by occupation level,High level (Managers; Professionals; Technicians and associate professionals),Percent,-7.4685869216918945,507,1659539394367
Luxembourg,2018,Total,Employment,Gender gap in hours worked by occupation level,"Middle level (Clerical support workers; Craft and related trades workers; Plant and machine operators, and assemblers)",Percent,-14.814990043640137,4349,1659539394367
Luxembourg,2018,Important energy consumers,Employment,Gender gap in hours worked by education level,Upper secondary education,Percent,-10.292670249938965,149,1659539394367
Hungary,2010,Non-energy,Employment,Gender gap in hours worked,,Percent,-1.946207046508789,482022,1659539394367
Greece,2018,Energy,Employment,Gender wage gap by contract type,Permanent contract,Percent,-5.904170036315918,1261,1659539394367
Sweden,2018,Total,Employment,Gender wage gap conditional on skills by firm size,Large,Percent,-15.169690132141113,116565,1659539394367
Czech Republic,2014,Energy,Employment,Gender wage gap conditional on skills by occupation level,High level (Managers; Professionals; Technicians and associate professionals),Percent,-18.416170120239258,29111,1659539394367
Estonia,2014,Energy,Employment,Gender wage gap by occupation level,High level (Managers; Professionals; Technicians and associate professionals),Percent,-23.041160583496094,2006,1659539394367
Romania,2010,Energy generation and distribution,Employment,Gender wage gap by occupation level,High level (Managers; Professionals; Technicians and associate professionals),Percent,-15.676650047302246,2236,1659539394367
Canada,2010,Non-energy,Employment,Gender gap in hours worked by education level,Tertiary education,Percent,-17.769500732421875,195986,1659539394367
Italy,2018,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender wage gap conditional on skills by education level,Upper secondary education,Percent,-7.595145225524902,619,1659539394367
Sweden,2018,Non-energy,Employment,Gender wage gap conditional on skills by education level,Tertiary education,Percent,-14.985549926757812,67772,1659539394367
Hungary,2018,Non-energy,Employment,Gender wage gap by education level,Less than upper secondary education,Percent,-7.527092933654785,61915,1659539394367
Finland,2014,Total,Employment,Gender gap in hours worked by education level,Less than upper secondary education,Percent,-8.186978340148926,10100,1659539394367
Hungary,2014,Total,Employment,Gender wage gap conditional on skills by occupation level,High level (Managers; Professionals; Technicians and associate professionals),Percent,-17.763629913330078,354602,1659539394367
Lithuania,2018,Non-energy,Employment,Gender wage gap conditional on skills by contract type,Permanent contract,Percent,-17.889339447021484,15542,1659539394367
Germany,2014,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender employment gap by firm size,Large,Percent,-87.28336334228516,507,1659539394367
Slovenia,2018,Total,Employment,Gender employment gap by firm size,Large,Percent,4.10511589050293,97326,1659539394367
Bulgaria,2018,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender wage gap conditional on skills by occupation level,"Low level (Service and sales workers; Skilled agricultural, forestry and fishery workers; Elementary occupations)",Percent,-1.8227529525756836,262,1659539394367
Belgium,2014,Energy generation and distribution,Employment,Gender employment gap by firm size,Small,Percent,-62.08053970336914,197,1659539394367
Luxembourg,2014,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender employment gap,,Percent,-90.5968017578125,266,1659539394367
Australia,2018,Non-energy,Employment,Gender employment gap by education level,Tertiary education,Percent,2.547985076904297,53,1659539394367
Croatia,2014,Non-energy,Employment,Gender wage gap by contract type,Permanent contract,Percent,-12.498180389404297,24717,1659539394367
Greece,2010,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender gap in hours worked by occupation level,"Middle level (Clerical support workers; Craft and related trades workers; Plant and machine operators, and assemblers)",Percent,-3.587912082672119,66,1659539394367
Romania,2018,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender wage gap by occupation level,"Middle level (Clerical support workers; Craft and related trades workers; Plant and machine operators, and assemblers)",Percent,-0.49729520082473755,426,1659539394367
Romania,2010,Energy generation and distribution,Employment,Gender gap in hours worked by education level,Upper secondary education,Percent,-0.23377040028572083,2632,1659539394367
Belgium,2014,Important energy consumers,Employment,Gender wage gap by occupation level,"Middle level (Clerical support workers; Craft and related trades workers; Plant and machine operators, and assemblers)",Percent,-2.41513991355896,1134,1659539394367
Belgium,2018,Energy generation and distribution,Employment,Gender wage gap conditional on skills by education level,Upper secondary education,Percent,-11.576640129089355,502,1659539394367
Latvia,2010,Important energy consumers,Employment,Gender wage gap conditional on skills by education level,Less than upper secondary education,Percent,-16.04343032836914,238,1659539394367
Hungary,2018,Energy generation and distribution,Employment,Gender employment gap by occupation level,High level (Managers; Professionals; Technicians and associate professionals),Percent,-48.14474105834961,1187,1659539394367
Romania,2014,Important energy consumers,Employment,Gender gap in hours worked by contract type,Permanent contract,Percent,-0.650661826133728,3584,1659539394367
